City,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
kailua,80.6,69,75,14.99,21.4,-157.74,1592506733
nagaur,95.32,38,100,25.99,27.2,73.73,1592506882
provideniya,57.31,54,0,3.6,64.38,-173.3,1592506882
vangaindrano,65.46,88,82,5.55,-23.35,47.6,1592506882
san miguel,93.2,59,40,2.48,13.48,-88.18,1592506882
oranjestad,87.8,66,20,25.28,12.52,-70.03,1592506647
mangrol,85.03,79,13,15.95,21.12,70.12,1592506745
saskylakh,63.61,61,33,5.61,71.92,114.08,1592506882
yegorlykskaya,69.75,58,100,8.57,46.57,40.66,1592506882
hilo,77.0,73,40,6.93,19.73,-155.09,1592506882
zhezkazgan,73.45,35,100,8.14,47.8,67.71,1592506882
congonhas,70.86,48,21,3.18,-20.5,-43.86,1592506883
innisfail,70.03,88,100,12.88,-17.53,146.03,1592506883
manono,71.69,43,2,5.57,-7.3,27.42,1592506883
lavrentiya,49.41,62,0,2.71,65.58,-171.0,1592506883
bredasdorp,50.0,87,0,4.97,-34.53,20.04,1592506883
uyuni,52.77,31,0,8.3,-20.46,-66.83,1592506883
coahuayana,84.2,62,40,9.17,18.73,-103.68,1592506883
kisangani,73.53,56,100,1.03,0.52,25.2,1592506883
padampur,102.6,16,0,12.77,29.68,73.62,1592506883
pisco,66.2,72,90,3.36,-13.7,-76.22,1592506883
marawi,73.99,96,89,5.01,8.0,124.29,1592506883
chicama,73.31,59,9,11.48,-7.84,-79.15,1592506884
maldonado,57.99,100,90,11.41,-34.67,-54.92,1592506884
santa cruz,86.0,51,40,21.92,-17.8,-63.17,1592506884
neiafu,71.6,83,20,4.7,-18.65,-173.98,1592506884
husavik,57.2,58,61,5.82,66.04,-17.34,1592506823
lompoc,70.0,64,0,9.17,34.64,-120.46,1592506717
port blair,82.85,84,75,11.9,11.67,92.75,1592506850
ozinki,66.76,86,67,14.61,51.18,49.68,1592506884
mednogorsk,59.11,70,0,12.91,51.41,57.59,1592506884
college,68.0,45,40,3.76,64.86,-147.8,1592506884
north myrtle beach,80.01,64,90,9.17,33.82,-78.68,1592506884
bjornevatn,55.4,54,68,6.93,69.67,29.98,1592506685
norman wells,73.4,43,75,10.29,65.28,-126.83,1592506885
touros,75.2,94,90,9.17,-5.2,-35.46,1592506885
nikolskoye,68.0,77,75,6.71,59.7,30.79,1592506885
yellowknife,62.01,71,20,13.87,62.46,-114.35,1592506885
bukit mertajam,84.2,79,20,5.82,5.36,100.47,1592506634
itoman,82.4,94,20,14.99,26.12,127.67,1592506885
catuday,82.54,76,4,3.04,16.29,119.81,1592506885
coquimbo,60.8,59,100,10.29,-29.95,-71.34,1592506612
chokurdakh,74.07,43,64,8.32,70.63,147.92,1592506885
kahului,82.4,58,20,17.22,20.89,-156.47,1592506885
zaysan,59.34,50,8,6.69,47.47,84.87,1592506885
lasa,53.6,66,75,8.05,46.62,10.7,1592506885
high rock,84.2,89,75,8.05,26.62,-78.28,1592506886
longyearbyen,44.6,70,75,8.05,78.22,15.64,1592506813
iranshahr,102.2,20,0,4.7,27.2,60.68,1592506886
lebu,52.93,94,100,15.08,-37.62,-73.65,1592506886
chuy,65.3,75,33,16.82,-33.7,-53.46,1592506886
kimbe,75.88,85,3,5.17,-5.55,150.14,1592506886
hobart,41.0,93,100,3.36,-42.88,147.33,1592506802
chiredzi,57.58,91,100,4.25,-21.05,31.67,1592506886
qaqortoq,46.4,61,40,6.93,60.72,-46.03,1592506887
clarksville,82.4,51,90,4.7,36.53,-87.36,1592506858
umm kaddadah,86.97,45,6,21.36,13.6,26.69,1592506887
raisen,73.4,100,90,19.46,23.33,77.8,1592506887
maracacume,85.44,66,52,3.78,-2.04,-45.96,1592506887
boksitogorsk,70.9,84,42,6.55,59.47,33.85,1592506887
murray bridge,55.0,67,0,7.0,-35.12,139.27,1592506887
brae,53.6,93,13,11.41,60.4,-1.35,1592506878
vavoua,75.54,87,93,4.99,7.38,-6.48,1592506887
parfenyevo,55.89,74,0,5.03,58.48,43.41,1592506887
san pedro de macoris,89.6,59,20,9.17,18.46,-69.3,1592506887
sawtell,55.4,93,90,5.82,-30.38,153.1,1592506888
half moon bay,86.0,52,1,8.05,37.46,-122.43,1592506888
dingle,76.26,92,100,7.18,11.0,122.67,1592506816
gangarampur,79.45,93,99,3.69,25.4,88.52,1592506888
gat,75.99,75,2,6.29,31.61,34.76,1592506685
saint george,77.0,14,1,5.82,37.1,-113.58,1592506806
ponta do sol,73.4,64,20,10.29,32.67,-17.1,1592506888
pitsunda,73.4,88,20,0.74,43.16,40.34,1592506889
arraial do cabo,77.0,65,0,18.34,-22.97,-42.03,1592506889
alofi,73.4,78,5,11.41,-19.06,-169.92,1592506694
bani walid,87.1,17,0,11.41,31.76,13.99,1592506889
quelimane,67.1,90,78,5.82,-17.88,36.89,1592506889
moindou,64.4,88,100,1.12,-21.69,165.68,1592506889
klaksvik,50.0,93,96,8.05,62.23,-6.59,1592506889
bingerville,80.6,83,20,6.93,5.36,-3.89,1592506889
solano,88.0,23,1,10.29,38.23,-121.95,1592506889
burnie,50.0,88,100,3.0,-41.07,145.92,1592506890
gulu,65.21,90,100,1.25,2.77,32.3,1592506890
bethel,79.0,65,40,4.7,41.37,-73.41,1592506856
malya,70.18,53,43,7.56,-2.98,33.52,1592506890
avarua,71.6,73,27,8.05,-21.21,-159.78,1592506610
vardo,46.4,75,17,20.8,70.37,31.11,1592506890
olbia,75.2,57,0,5.82,40.92,9.49,1592506890
kununurra,60.8,38,0,3.36,-15.77,128.73,1592506824
kenai,61.0,58,75,8.05,60.55,-151.26,1592506890
marrakesh,78.8,44,75,9.17,31.63,-8.01,1592506890
pytalovo,71.92,77,0,4.38,57.07,27.91,1592506890
kurilsk,47.82,93,94,1.43,45.23,147.88,1592506891
bathsheba,87.8,70,40,20.8,13.22,-59.52,1592506594
talara,77.0,65,0,19.46,-4.58,-81.27,1592506716
cururupu,82.45,75,19,5.7,-1.83,-44.87,1592506892
lakes entrance,47.62,78,1,5.23,-37.88,147.98,1592506892
saint-francois,64.4,55,67,4.7,46.42,3.91,1592506892
nanortalik,40.44,78,100,7.47,60.14,-45.24,1592506892
nome,64.0,67,90,9.17,64.5,-165.41,1592506648
bandarbeyla,81.41,69,99,30.87,9.49,50.81,1592506640
pueblo,75.99,22,1,10.29,38.25,-104.61,1592506892
kavaratti,84.22,80,100,15.86,10.57,72.64,1592506875
laguna,86.0,23,1,4.7,38.42,-121.42,1592506880
carauari,89.42,58,70,1.54,-4.88,-66.9,1592506893
ahipara,50.09,81,13,5.82,-35.17,173.17,1592506893
naze,78.8,100,100,12.75,28.37,129.48,1592506893
yulara,42.8,45,0,3.36,-25.24,130.99,1592506607
grand-santi,83.91,90,78,4.05,4.25,-54.38,1592506893
olafsvik,49.33,76,100,15.95,64.89,-23.71,1592506893
bubaque,82.0,81,0,14.58,11.28,-15.83,1592506894
avera,80.6,57,90,5.19,33.19,-82.53,1592506606
broome,82.99,64,91,4.0,42.25,-75.83,1592506894
leduc,61.0,62,75,4.7,53.27,-113.55,1592506881
santa barbara,69.01,77,90,10.29,34.42,-119.7,1592506867
grand gaube,68.0,81,100,8.99,-20.01,57.66,1592506894
scarborough,57.0,96,100,8.01,54.28,-0.4,1592506894
cuamba,63.73,83,37,7.52,-14.8,36.54,1592506895
mayo,81.0,73,1,9.17,38.89,-76.51,1592506894
villa carlos paz,69.8,22,36,5.82,-31.42,-64.5,1592506839
imaculada,76.84,64,95,8.3,-7.39,-37.51,1592506895
muros,64.99,67,40,8.05,42.78,-9.06,1592506895
oxford,60.8,87,20,11.41,51.75,-1.26,1592506681
madera,89.01,22,0,1.01,37.17,-119.83,1592506895
zhigansk,59.74,65,0,7.02,66.77,123.37,1592506895
atar,109.4,23,0,11.41,20.52,-13.05,1592506895
tasiilaq,42.8,81,100,43.62,65.61,-37.64,1592506813
usinsk,40.14,69,10,9.22,65.99,57.53,1592506896
bonavista,55.87,74,100,7.92,48.65,-53.11,1592506896
richards bay,59.41,79,87,2.28,-28.78,32.04,1592506886
san pedro,84.2,74,40,5.82,14.35,121.02,1592506896
buala,80.15,79,0,4.41,-8.14,159.59,1592506896
celestun,86.67,65,2,8.72,20.87,-90.4,1592506896
thompson,35.6,100,90,14.99,55.74,-97.86,1592506897
rovaniemi,60.8,93,75,6.93,66.5,25.72,1592506897
kassala,79.47,56,33,34.76,15.45,36.4,1592506897
pakxan,75.16,91,70,2.13,18.38,103.66,1592506897
dunedin,44.01,78,90,7.0,-45.87,170.5,1592506897
plettenberg bay,65.73,41,0,8.72,-34.05,23.37,1592506897
kimparana,97.38,31,90,7.43,12.83,-4.92,1592506897
voh,68.88,84,100,5.53,-20.97,164.7,1592506897
severo-kurilsk,41.92,87,100,8.52,50.68,156.12,1592506897
teya,55.15,69,87,4.52,60.38,92.63,1592506898
tura,74.68,98,100,5.06,25.52,90.22,1592506898
hong gai,84.2,83,20,5.82,20.96,107.09,1592506898
udachnyy,57.2,50,6,4.47,66.42,112.4,1592506898
fortuna,68.0,77,20,8.05,40.6,-124.16,1592506898
williston,53.01,72,100,7.0,48.15,-103.62,1592506898
ixtapa,88.0,55,5,6.93,20.7,-105.2,1592506747
keflavik,53.6,81,75,24.16,64.0,-22.56,1592506898
bahir dar,66.24,80,99,7.2,11.59,37.39,1592506806
honiara,77.13,82,15,4.68,-9.43,159.95,1592506881
adana,73.4,88,40,6.93,36.98,35.29,1592506899
sinegorye,62.82,55,82,1.88,62.08,150.48,1592506899
svobodnyy,49.6,84,100,0.85,51.4,128.13,1592506899
luanda,73.4,83,43,5.82,-8.84,13.23,1592506715
dhidhdhoo,84.11,79,100,10.49,6.88,73.1,1592506899
mastic beach,75.2,69,20,6.93,40.77,-72.85,1592506900
nanticoke,72.0,93,7,10.13,41.21,-76.0,1592506900
sola,79.77,77,99,19.06,-13.88,167.55,1592506866
ornskoldsvik,71.6,56,0,5.82,63.29,18.72,1592506900
dayong,82.4,83,100,6.71,25.02,118.29,1592506900
tepetzintla,86.49,61,78,6.62,21.17,-97.83,1592506900
andenes,46.4,81,75,10.29,69.31,16.12,1592506870
grand forks,77.0,53,75,13.87,47.93,-97.03,1592506901
whitehorse,57.0,58,75,11.41,60.72,-135.05,1592506872
neuquen,57.2,41,100,4.7,-38.95,-68.06,1592506877
honningsvag,44.6,81,75,19.46,70.98,25.97,1592506901
deputatskiy,69.04,55,22,0.18,69.3,139.9,1592506901
kawalu,73.09,92,95,1.81,-7.38,108.21,1592506901
macapa,87.8,74,75,8.05,0.04,-51.07,1592506651
george,55.4,62,0,4.7,-33.96,22.46,1592506901
hohhot,60.8,63,0,8.95,40.81,111.65,1592506902
piacabucu,78.48,79,44,14.12,-10.41,-36.43,1592506902
belyy yar,60.8,77,54,8.95,53.6,91.39,1592506902
port macquarie,54.0,98,63,2.95,-31.43,152.92,1592506705
bauchi,77.52,69,61,4.41,10.5,10.0,1592506902
mahebourg,71.6,68,75,13.87,-20.41,57.7,1592506902
vammala,68.0,60,0,6.93,61.33,22.9,1592506902
karaton,78.8,83,20,3.36,-6.34,106.1,1592506902
drnovice,66.0,80,100,7.34,49.28,16.95,1592506779
wagar,98.98,24,7,16.06,16.15,36.2,1592506903
srandakan,77.83,84,62,12.39,-7.94,110.25,1592506647
winkler,68.0,100,75,5.82,49.18,-97.94,1592506797
collie,41.0,97,0,1.79,-33.37,116.15,1592506903
zarechnyy,60.1,83,0,7.61,53.2,45.19,1592506903
port-cartier,75.2,50,75,10.29,50.03,-66.87,1592506903
winnemucca,69.8,22,1,12.75,40.97,-117.74,1592506903
mogok,66.7,99,100,3.67,22.92,96.5,1592506903
ialibu,55.13,97,28,1.99,-6.28,143.99,1592506904
valparaiso,55.4,62,100,5.23,-33.04,-71.63,1592506904
tazovskiy,37.83,76,2,9.15,67.47,78.7,1592506904
grande prairie,66.2,63,20,1.3,55.17,-118.8,1592506904
toronto,84.99,68,1,12.75,43.7,-79.42,1592506839
bowen,69.01,93,90,10.29,-20.02,148.23,1592506904
sitka,51.8,93,90,10.29,57.05,-135.33,1592506642
oranjemund,68.2,26,0,5.03,-28.55,16.43,1592506904
nyurba,49.55,97,14,4.03,63.28,118.33,1592506905
torit,73.38,81,100,3.83,4.41,32.57,1592506905
port-gentil,77.0,83,90,9.17,-0.72,8.78,1592506905
gunib,62.83,67,87,4.9,42.39,46.97,1592506905
meulaboh,78.42,84,68,5.03,4.14,96.13,1592506905
souillac,71.6,68,75,13.87,-20.52,57.52,1592506746
cockburn town,87.8,62,40,13.87,21.46,-71.14,1592506630
weihai,67.51,87,6,10.83,37.5,122.11,1592506905
rio do sul,78.01,79,41,3.02,-27.21,-49.64,1592506782
karla,68.0,60,0,3.36,59.37,24.93,1592506905
wanparti,80.67,73,100,7.52,16.37,78.07,1592506905
santa quiteria do maranhao,86.04,63,12,4.03,-3.52,-42.55,1592506906
basco,84.51,83,0,15.93,20.45,121.97,1592506906
kidal,99.55,8,0,10.96,18.44,1.41,1592506906
chala,54.45,77,0,2.93,-7.58,31.27,1592506906
karratha,68.72,63,0,3.6,-20.74,116.85,1592506885
gisborne,59.0,72,100,1.01,-38.65,178.0,1592506896
voi,70.11,73,14,12.01,-3.39,38.56,1592506907
fengcheng,62.31,93,100,0.83,40.45,124.07,1592506907
alice town,81.79,74,100,12.86,25.72,-79.3,1592506907
palmer,84.99,42,40,6.93,42.16,-72.33,1592506907
tanout,94.87,25,41,2.13,14.97,8.89,1592506907
namibe,71.49,69,0,2.91,-15.2,12.15,1592506792
puerto ayacucho,80.6,83,40,4.7,5.66,-67.62,1592506907
coffs harbour,55.4,93,90,5.82,-30.3,153.13,1592506907
guaymas,97.0,56,5,9.17,27.93,-110.9,1592506907
matadi,77.23,68,23,4.23,-5.82,13.45,1592506907
sambava,72.16,85,100,18.63,-14.27,50.17,1592506908
alta floresta,91.4,41,40,6.93,-9.88,-56.09,1592506804
hamilton,81.0,54,40,4.7,39.18,-84.53,1592506618
kavieng,82.17,75,59,4.88,-2.57,150.8,1592506742
vila do maio,86.0,51,0,26.4,15.13,-23.22,1592506827
zapolyarnyy,55.4,54,82,6.93,69.42,30.81,1592506908
mahibadhoo,84.25,73,24,3.22,3.78,72.97,1592506908
paka,77.0,94,96,3.91,4.64,103.44,1592506908
lorengau,82.31,78,43,9.26,-2.02,147.27,1592506732
hami,82.71,23,39,17.36,42.8,93.45,1592506909
bozoum,70.68,91,100,3.13,6.32,16.38,1592506909
chemal,53.51,80,27,4.61,51.41,86.0,1592506909
cowra,42.01,90,0,1.99,-33.83,148.68,1592506909
gallup,79.0,11,1,14.99,35.53,-108.74,1592506909
zeya,55.38,65,100,2.71,53.75,127.27,1592506613
martapura,74.37,93,64,1.45,-3.42,114.85,1592506909
sirnak,67.98,32,0,3.04,37.52,42.46,1592506909
ola,48.97,89,54,1.03,59.58,151.28,1592506744
santa rosa,84.2,74,40,5.82,14.31,121.11,1592506619
nuuk,44.6,75,75,9.17,64.18,-51.72,1592506745
ingleside,77.0,94,75,17.2,27.88,-97.21,1592506910
upata,82.45,74,73,4.92,8.01,-62.4,1592506910
banda aceh,79.66,77,62,7.14,5.56,95.32,1592506910
san patricio,86.0,74,20,11.41,19.22,-104.7,1592506910
berga,68.0,72,99,9.17,60.39,5.33,1592506910
la maddalena,75.2,57,0,5.82,41.21,9.41,1592506910
warri,74.7,96,100,2.37,5.52,5.75,1592506910
kampot,84.2,74,20,6.93,10.62,104.18,1592506910
ilulissat,33.8,86,90,5.82,69.22,-51.1,1592506693
la rioja,69.8,52,90,6.93,42.25,-2.5,1592506911
henties bay,75.0,45,0,1.01,-22.12,14.28,1592506911
byron bay,57.2,93,75,5.82,-28.65,153.62,1592506911
isangel,72.12,82,19,11.5,-19.55,169.27,1592506911
makakilo city,75.2,94,75,9.17,21.35,-158.09,1592506865
sigli,78.22,82,28,6.69,5.38,95.96,1592506911
cabo san lucas,95.0,58,40,3.36,22.89,-109.91,1592506800
muli,84.11,73,68,0.65,2.92,73.57,1592506911
ancud,52.0,87,90,17.22,-41.87,-73.82,1592506874
stokmarknes,55.99,73,23,14.0,68.56,14.91,1592506912
pevek,40.64,72,0,9.35,69.7,170.31,1592506809
lufilufi,75.0,94,93,4.0,-13.87,-171.6,1592506635
gombong,59.0,67,42,5.73,-7.61,109.51,1592506912
araouane,106.74,8,53,8.86,18.9,-3.53,1592506912
wangqing,55.15,88,96,1.39,43.32,129.76,1592506912
maceio,80.6,69,75,18.34,-9.67,-35.74,1592506805
tocopilla,69.3,50,97,3.06,-22.09,-70.2,1592506913
malakal,70.0,92,100,1.83,9.53,31.66,1592506913
nyrob,42.67,66,0,3.13,60.73,56.72,1592506913
mnogovershinnyy,36.86,98,81,2.89,53.94,139.92,1592506913
rock sound,81.34,82,100,9.33,24.9,-76.2,1592506805
aklavik,53.6,81,75,3.36,68.22,-135.01,1592506913
trincomalee,82.99,76,64,17.07,8.57,81.23,1592506891
ondjiva,59.88,44,0,5.84,-17.07,15.73,1592506914
kolno,68.27,90,9,5.55,53.41,21.93,1592506914
miri,78.8,94,75,3.36,4.41,114.01,1592506914
soe,62.91,100,84,3.78,-9.86,124.28,1592506914
goure,94.84,24,100,8.25,13.98,10.27,1592506914
tessalit,101.55,8,0,8.1,20.2,1.01,1592506915
quesnel,64.4,52,90,2.24,53.0,-122.5,1592506872
bougouni,82.58,63,48,8.37,11.42,-7.48,1592506915
ponta delgada,64.4,82,75,12.75,37.73,-25.67,1592506915
manggar,78.91,90,100,10.6,-2.88,108.27,1592506915
jaque,83.3,73,99,3.98,7.52,-78.17,1592506915
zheleznodorozhnyy,78.01,73,100,6.71,55.75,38.0,1592506915
abu samrah,68.74,68,0,20.76,35.3,37.18,1592506915
chumikan,38.26,94,100,4.21,54.72,135.31,1592506751
boundiali,81.25,70,100,9.98,9.52,-6.49,1592506915
codrington,50.58,79,100,14.43,-38.27,141.97,1592506687
leshukonskoye,56.89,62,100,5.08,64.9,45.76,1592506916
grindavik,50.0,81,75,24.16,63.84,-22.43,1592506747
athabasca,60.84,53,19,4.21,54.72,-113.29,1592506916
port hedland,62.6,100,90,5.82,-20.32,118.57,1592506810
geraldton,51.8,81,0,5.82,-28.77,114.6,1592506916
otjiwarongo,54.27,45,0,11.48,-20.46,16.65,1592506916
huarmey,69.39,66,3,8.93,-10.07,-78.15,1592506916
jumla,61.23,70,54,1.25,29.27,82.18,1592506916
medea,73.4,78,40,11.41,36.26,2.75,1592506916
leningradskiy,43.74,62,73,4.52,69.38,178.42,1592506917
cayenne,80.6,88,90,10.02,4.93,-52.33,1592506917
kupino,45.81,88,9,9.17,54.37,77.3,1592506917
milkovo,56.08,87,14,1.9,54.72,158.62,1592506917
puerto carreno,80.6,83,40,4.7,6.19,-67.49,1592506917
bereda,63.0,74,7,8.01,43.27,-7.54,1592506917
mountain home,68.0,40,1,5.82,43.13,-115.69,1592506885
malaya vishera,71.53,74,0,2.62,58.85,32.22,1592506917
tateyama,64.4,93,75,5.82,34.98,139.87,1592506712
la massana,68.0,56,40,8.05,42.57,1.48,1592506917
rehoboth,54.5,41,0,8.37,-23.32,17.08,1592506918
berlevag,48.2,81,75,24.16,70.86,29.09,1592506918
kaitong,63.73,64,99,6.15,44.81,123.15,1592506918
aksarka,38.73,74,61,8.52,66.56,67.8,1592506918
hulst,69.01,78,73,1.01,51.28,4.05,1592506918
gimli,62.01,92,76,3.0,50.63,-96.99,1592506918
bratsk,57.2,54,0,11.18,56.13,101.61,1592506918
simao,67.1,95,100,1.9,22.79,100.97,1592506919
randolph,77.0,60,75,6.93,35.7,-79.82,1592506919
formosa do rio preto,80.67,48,1,8.7,-11.05,-45.19,1592506919
la palma,66.99,77,90,4.7,33.85,-118.05,1592506832
russell,82.99,45,90,3.36,32.35,-85.2,1592506919
vredendal,66.43,33,0,14.79,-31.67,18.5,1592506883
hambantota,80.6,94,80,6.93,6.12,81.12,1592506920
adrar,103.3,13,76,14.47,20.5,-10.07,1592506920
gejiu,60.85,100,100,3.94,23.31,103.16,1592506920
barra patuca,85.66,68,100,12.03,15.8,-84.28,1592506920
jalu,86.04,21,0,11.88,29.03,21.55,1592506920
labuhan,78.19,85,0,5.93,-6.88,112.21,1592506920
petrov val,71.42,68,0,11.7,50.14,45.21,1592506921
sabha,85.51,14,0,6.2,27.04,14.43,1592506885
fernie,64.4,59,75,4.7,49.5,-115.07,1592506921
arawa,77.02,83,1,2.71,-6.21,155.54,1592506921
mingshui,69.01,79,21,1.99,36.72,117.5,1592506921
portland,70.0,67,92,3.78,45.52,-122.68,1592506671
doha,98.6,17,0,13.87,25.29,51.53,1592506640
kardamaina,75.2,73,0,6.93,36.78,27.14,1592506921
astana,55.4,62,75,8.95,51.18,71.45,1592506922
nizwa,90.03,44,0,4.21,22.93,57.53,1592506922
tongliao,64.36,51,1,4.5,43.61,122.27,1592506922
kudahuvadhoo,84.04,73,82,3.8,2.67,72.89,1592506821
gravdal,48.2,81,40,18.34,68.12,13.5,1592506922
namatanai,79.97,82,14,5.91,-3.67,152.43,1592506922
kargopol,62.74,72,100,5.77,61.51,38.95,1592506922
axim,77.61,84,100,8.77,4.87,-2.24,1592506922
newala,61.7,100,1,3.89,-10.94,39.28,1592506923
dongkan,62.53,87,18,5.21,34.0,119.83,1592506923
vallenar,75.94,17,100,2.46,-28.57,-70.76,1592506923
tigil,48.9,94,100,3.06,57.8,158.67,1592506923
isiro,68.86,96,100,1.19,2.77,27.62,1592506923
